timestamp,open,high,low,close,volume
2024-07-26,2981.0500,3109.0000,2981.0500,3081.3500,174872
2024-07-25,2968.2500,3016.6000,2944.4000,2975.5000,35080
2024-07-24,2990.0500,3007.0000,2960.0000,2968.8500,22531
2024-07-23,3001.0500,3037.8500,2889.6500,2986.1500,81057
2024-07-22,3000.0500,3026.0000,2972.2500,3000.1500,66725
2024-07-19,3090.5500,3094.0000,3000.0000,3006.0500,28876
2024-07-18,3091.0500,3110.9500,3057.5500,3090.5500,66396
2024-07-16,3128.1500,3138.0000,3096.9500,3110.0000,44798
2024-07-15,3065.0000,3103.2000,3058.2500,3090.1000,20725
2024-07-12,3085.9000,3098.0000,3059.0000,3063.9500,24375
2024-07-11,3105.6000,3129.0000,3073.1000,3077.9500,66896
2024-07-10,3120.0000,3127.0000,3065.0000,3097.6000,28289
2024-07-09,3110.0500,3158.0000,3099.5500,3108.9000,48796
2024-07-08,3147.5500,3158.2000,3073.5000,3112.5000,64530
2024-07-05,3142.0000,3158.0000,3123.2000,3147.5500,89990
2024-07-04,3189.0000,3189.6500,3140.1000,3144.9500,33711
2024-07-03,3151.4000,3194.1500,3148.0000,3189.6500,28748
2024-07-02,3171.1500,3207.5500,3130.2000,3150.6000,63110
2024-07-01,3175.5500,3192.9500,3157.0500,3182.8500,34352
2024-06-28,3180.6500,3211.4000,3157.4000,3175.5500,28571
2024-06-27,3171.1500,3203.0000,3150.4000,3174.8500,35262
2024-06-26,3171.3500,3188.0000,3165.0000,3169.3500,28515
2024-06-25,3209.9500,3209.9500,3157.0000,3169.4000,29852
2024-06-24,3193.9500,3214.0000,3135.1000,3194.5000,54113
2024-06-21,3265.1000,3276.3500,3177.3500,3187.9500,65686
2024-06-20,3269.9500,3315.5500,3241.6000,3258.2500,42838
2024-06-19,3310.5500,3316.6000,3226.3000,3260.5500,61402
2024-06-18,3300.0000,3351.0000,3285.5000,3307.9000,164381
2024-06-14,3224.0000,3275.0000,3222.0000,3263.5000,68430
2024-06-13,3236.4500,3253.0000,3207.0000,3224.0000,52840
2024-06-12,3221.9500,3244.7500,3207.2500,3215.6500,142666
2024-06-11,3225.0000,3264.7000,3197.6000,3221.9500,104900
2024-06-10,3290.7000,3295.0000,3204.2000,3218.4500,126675
2024-06-07,3170.0000,3233.7500,3152.1000,3218.7000,117840
2024-06-06,3193.9500,3221.0000,3137.5500,3183.3500,465504
2024-06-05,3029.0000,3152.4500,2750.0000,3117.0500,576710
2024-06-04,3550.0000,3550.0000,2734.0500,2939.9500,2137243
2024-06-03,3743.0000,3743.0000,3587.0500,3645.3500,668847
2024-05-31,3225.7000,3431.5000,3222.6000,3411.4500,351787
2024-05-30,3259.9500,3274.0000,3175.0000,3193.1000,128929
2024-05-29,3244.3500,3321.0000,3211.6500,3259.2000,126174
2024-05-28,3313.9000,3328.8000,3230.9000,3244.3500,79442
2024-05-27,3364.9500,3364.9500,3267.9500,3288.1000,127720
2024-05-24,3403.0000,3456.2500,3355.5000,3384.6500,341745
2024-05-23,3150.1500,3409.0500,3135.7000,3391.2000,337401
2024-05-22,3130.0000,3145.0000,3075.0000,3139.6000,47214
2024-05-21,3060.0500,3174.7500,3034.9500,3115.7500,238452
2024-05-17,3044.9500,3089.6000,3015.7000,3060.2500,42412
2024-05-16,3054.0500,3077.7000,2975.8500,3040.9000,132328
2024-05-15,3042.6500,3118.5000,3040.0000,3052.6000,113373
2024-05-14,2897.8500,3045.0000,2876.0000,3037.0500,224335
2024-05-13,2813.6500,2889.0000,2790.9000,2880.5000,110417
2024-05-10,2791.2500,2809.9500,2761.0500,2799.2000,71900
2024-05-09,2898.5000,2898.5000,2757.6500,2766.7500,62503
2024-05-08,2863.8500,2890.9000,2821.0000,2860.1000,41253
2024-05-07,2887.0000,2905.0000,2822.1000,2835.4000,116682
2024-05-06,2990.4500,2996.0000,2850.0000,2875.1500,223282
2024-05-03,3034.6000,3044.1500,2976.0000,2993.3000,81367
2024-05-02,3068.8500,3119.5500,3015.4500,3037.1500,82362
2024-04-30,3097.8500,3108.0000,3045.1000,3054.3000,28585
2024-04-29,3119.0000,3119.0000,3052.0000,3079.5500,29658
2024-04-26,3101.0500,3130.5500,3066.3500,3079.9000,60459
2024-04-25,3045.3500,3121.3500,3026.8000,3116.4000,40285
