timestamp,open,high,low,close,volume
2024-07-18,1499.9500,1512.7500,1485.0500,1506.0500,37478
2024-07-16,1517.9000,1524.2500,1504.0000,1511.3500,14558
2024-07-15,1515.0000,1532.0000,1513.2500,1516.0500,30925
2024-07-12,1509.9500,1515.0000,1503.0000,1511.9500,19057
2024-07-11,1519.0000,1519.0000,1495.1000,1505.8000,21499
2024-07-10,1511.8000,1517.0000,1492.8500,1513.1500,13766
2024-07-09,1506.2000,1514.5000,1487.3500,1511.8000,25415
2024-07-08,1514.0000,1524.9500,1484.0000,1486.9500,37461
2024-07-05,1485.4500,1515.9500,1485.4500,1509.4000,93039
2024-07-04,1482.3000,1488.1500,1466.3500,1481.6500,28628
2024-07-03,1496.9500,1499.3000,1474.9000,1483.2000,24386
2024-07-02,1475.4500,1492.0000,1475.4500,1488.4500,18457
2024-07-01,1489.6500,1493.9000,1472.3500,1478.9000,24670
2024-06-28,1494.3500,1494.3500,1476.6000,1480.4000,31174
2024-06-27,1487.9000,1487.9000,1465.6000,1480.9500,51159
2024-06-26,1495.8000,1505.0000,1475.0000,1479.4500,24177
2024-06-25,1509.0500,1519.2000,1495.6500,1499.4000,72089
2024-06-24,1518.5500,1523.4000,1493.7000,1503.3000,40373
2024-06-21,1559.7500,1562.9000,1534.0000,1540.9500,22260
2024-06-20,1545.4000,1558.7000,1540.0000,1544.4500,21019
2024-06-19,1576.1500,1581.7000,1553.1000,1559.3000,29906
2024-06-18,1570.5000,1576.4500,1563.6000,1574.2500,44089
2024-06-14,1540.3000,1571.1500,1537.2000,1565.3000,36181
2024-06-13,1554.4000,1554.4000,1520.7000,1543.4500,30129
2024-06-12,1533.0000,1549.3500,1532.4500,1540.7000,34621
2024-06-11,1549.5500,1549.5500,1526.8500,1529.8500,55955
2024-06-10,1500.2500,1540.0000,1500.0000,1533.8000,100489
2024-06-07,1488.8500,1503.8000,1480.6500,1497.3000,50549
2024-06-06,1497.7000,1498.0000,1464.0500,1477.2500,44116
2024-06-05,1485.0000,1514.0000,1467.0500,1497.8500,115477
2024-06-04,1452.5500,1476.9000,1416.4000,1462.8500,125055
2024-06-03,1460.0500,1480.0000,1446.1000,1452.5000,44268
2024-05-31,1465.0500,1473.3500,1442.0000,1448.1500,18637
2024-05-30,1499.6500,1499.6500,1455.0000,1464.8000,14130
2024-05-29,1479.6000,1497.0500,1473.1000,1493.0500,141135
2024-05-28,1478.8000,1494.5500,1476.4000,1479.6000,13648
2024-05-27,1486.9500,1491.0000,1475.1000,1478.3500,23220
2024-05-24,1480.3500,1493.9500,1479.8500,1485.3000,12458
2024-05-23,1485.0000,1504.6500,1463.7500,1488.6500,193550
2024-05-22,1451.1000,1494.8000,1437.1000,1481.5500,185022
2024-05-21,1414.9500,1446.5000,1397.9500,1443.2000,57375
2024-05-18,1409.9500,1409.9500,1398.8500,1403.9000,6356
2024-05-17,1422.8500,1422.8500,1396.4500,1399.3500,41822
2024-05-16,1406.7500,1425.0000,1388.0000,1420.0500,63828
2024-05-15,1402.0000,1427.7000,1386.6500,1405.9500,295410
2024-05-14,1423.7500,1423.7500,1350.2500,1356.9500,117587
2024-05-13,1373.8500,1425.6500,1370.4000,1414.8000,167006
2024-05-10,1380.8500,1396.4000,1317.6000,1339.4500,210582
2024-05-09,1389.9500,1391.6000,1353.2500,1358.8000,24662
2024-05-08,1378.7500,1398.8500,1375.4000,1384.8000,97414
2024-05-07,1421.9500,1426.0500,1378.0000,1387.9000,30753
2024-05-06,1429.0500,1430.8000,1405.5000,1423.4000,203545
2024-05-03,1423.0000,1434.2000,1416.4000,1424.7500,32752
